Title,Original Title,Country,Translated Language,Author,Author Name,Translator,Translation and Publication Support,Publisher,Published Year,Classification,ISBN
"Água, visível e invisível",보이는 물 보이지 않는 물,BRAZIL,Portuguese(Português),Hae Sook Sung,성해숙,Yun Jung Iim,N,Callis,2012,KDC구분 > Natural science > Physics,9788574167374
O livro da força,코끼리도 들 수 있어요,,Portuguese(Português),Ji Hyun Lee,이지현,Yun Jung Iim,N,Callis,2012,KDC구분 > Natural science,9788574167367
Dziesięć tysięcy istnień,만인보,,Polish(Polski),Ko Eun,고은,"Mieczysław Godyń,Adam Szostkiewicz",Y,Wydawnictwo Entliczek,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9788324021475
Coffee Prince,커피 프린스 1호점,INDONESIA,Indonesian(Bahasa Indonesia),Sunmi Lee,이선미,"Claudia Yuliani Kurnia,Dwita Rizky Nientyas",Y,Qanita,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9786029225600
Пъмям на ломоса,"심청, 연꽃의 길",,Bulgarian(български),Хуанг Сок-йонг,황석영,Галина Меламед,Y,Колибри,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786191500840
L&apos;Ombre du vide,공백의 그림자,FRANCE,French(Français),Park Ynhui,박이문,Benjamin Joinau,Y,Atelier des Cahiers,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791091555067
Będę tam,어디선가 나를 찾는 전화벨이 울리고,POLAND,Polish(Polski),Shin Kyung-sook,신경숙,Marzena Stefańska-Adams,Y,Kwiaty Orientu,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788393527106
Užupio respublika,우주피스 공화국,,Lithuanian(Lietuvių kalba),Haïlji,하일지,MARTYNAS ŠIAUČIŪNAS-KAČINSKAS,Y,LLETUVOS RAŠRTOJŲ,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789986397359
搶救地球能源再生能源 vs 原子核能源,위기의 지구를 살리는 진짜 에너지를 찾아라,CHINA,Chinese(简体),姜亮求,강양구,"康在鎬,邱敏瑤",N,書泉,2012,KDC구분 > Social science,9789861217956
从代理满足到现实批判,한국무협소설의 작가와 작품,,Chinese(简体),全炯俊,전형준,杨磊,N,世界知识出版社,2012,KDC구분 > literature > Korean Literature > History of Korean Literature >  Literary Criticism,9787501243310
世界如此险恶你要看透人心全世界心理学家都在用的秒杀识人术,위험한 심리학,CHINA,Chinese(简体),,송형석,赵杨,N,广西科学技术出版社,2012,KDC구분 > Philosophy,"9787807637301, 7807637307"
"一个人, 也要活得性感",죽을 때까지 섹시하게: 인생을 보다 맛있게 요리하는 25가지 레시피 노하우,CHINA,Chinese(简体),金希才,김희재,"薜舟,徐丽红.",N,广西科学技术出版社,2012,KDC구분 > literature > Korean Literature > Essay > 21st century,9787807637431
三代,삼대,JAPAN,Japanese(日本語),廉想涉,염상섭,白川豊,Y,平凡社,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,"458505949, 9784582302387"
不靠降壓藥，高血壓才會好！高血壓名醫傳授自然痊癒的整合療法,"고혈압 치료, 나는 혈압약을 믿지 않는다",CHINA,Chinese(简体),宣在光,선재광,張鈺綺,N,三采文化,2012,KDC구분 > Social science,9789862298107
零用錢理財日記,놀이로 배우는 경제,CHINA,Chinese(简体),ETONE經濟敎育中心,ETONE경제교육중,翁培元,N,幼褔文化,2012,KDC구분 > Social science,"9789862432211, 9862432217"
必玩!首爾地鐵通,원더랜드 서울,CHINA,Chinese(简体),정재인,정재인,林美惠,Y,和平國際文化,2012,KDC구분 > History,9789866041433
حلم السحاب,구운몽,,Arabic(اللغة العربية),كيم مان تشونغ,김만중,ولاء مجدى,N,Animar for Literature and Arts,2012,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9786409095
為自己的夢想掌舵,젊은 구글러가 세상에 던지는 열정력,TAIWAN,Chinese(繁體),,김태원,金哲,N,Han Shian Culture,2012,KDC구분 > Social science,"9789866041211, 9866041212"
माँ का ध्यान रखना,엄마를 부탁해,INDIA,Hindi(हिंदी),क्युंग-सुक शिन,신경숙,Sh. Neelabh,Y,Rajpal and Sons,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789350641187
欢迎到我的神秘花园来参观,나의 비밀정원에 놀러오세요,CHINA,Chinese(简体),張善慧,장선혜,陈爱丽,N,浙江敎育出版社,2012,KDC구분 > literature > Korean Literature > Children and Adolescents,9787533897857
谁吃了苍蝇？,누가 파리를 잡아먹었나,CHINA,Chinese(简体),天地,하늘땅,陈爱丽,N,浙江敎育出版社,2012,KDC구분 > literature > Korean Literature > Children and Adolescents,9787533897840
猜猜我是谁？,나는 누구게?,CHINA,Chinese(简体),張基华,장기화,陈爱丽,N,浙江敎育出版社,2012,KDC구분 > literature > Korean Literature > Children and Adolescents,9787533897871
地球的情节小卫士是谁呢？,청소부는 누구?,TAIWAN,Chinese(繁體),姜银京,강은경,陈爱丽,N,浙江敎育出版社,2012,KDC구분 > Natural science,9787533897864
我们神奇的衣服——皮肤,피부는 요술옷,CHINA,Chinese(简体),張基华,장기화,陈爱丽,N,浙江敎育出版社,2012,KDC구분 > Religion,9787533897833
白石詩集,백석 시선,JAPAN,Japanese(日本語),白石,백석,青柳優子,Y,岩波書店,2012,KDC구분 > literature > Korean Literature > Korean Poetry,9784000247146
Murmullos de gloria,광휘의 속삭임,SPAIN,Spanish(Español),Chong Hyon-Jong,정현종,"KIM UN KYUNG,Oliverio Coelho",Y,Verbum,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9788479627997
冠村随笔,관촌수필,CHINA,Chinese(简体),李文求,이문구,金冉,Y,人民文学出版社,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9787020094882
光之帝国,빛의 제국,CHINA,Chinese(简体),金英夏,김영하,薛舟,Y,人民文学出版社,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787020095933
Truyện cố Hàn Quốc thòi Tam Quốc dành cho thiếu nhi .,어린이 삼국유사,VIET NAM,Vietnamese(Tiếng Việt),서정오,서정오,Trấn Thị Hương dịch,Y,Nhà Xuất Bản Văn Học,2012,KDC구분 > History > Asia > Korea,9786046902515
BLACK FLOWER,검은 꽃,UNITED STATES,English(English),YOUNG-HA KIM,김영하,Chales La Shure,N,Houghton Mifflin,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Historical >  Biographical >  Political >  Social,9780547691138
ICI COMME AILLEURS,그곳이 어디든,FRANCE,French(Français),Lee Seung-u,이승우,"Choi Mikyung,Jean-Noël Juttet",N,Zulma,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782843045820
LA VEGETARIANA,채식주의자,ARGENTINA,Spanish(Español),Han Kang,한강,Sun-me Yoon,Y,Bajo la luna,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789871803316
Magnolia & Lotus,무의자 시집,UNITED STATES,English(English),,혜심,"Ian Haight,T`ae-yŏng Hŏ",Y,화이트 파인 출판사,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9781935210436
トガニ,도가니,,Japanese(日本語),孔枝泳,공지영,蓮池薫,N,新潮社,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784105055530
脱出記 ― 崔曙海作品集,탈출기,,Japanese(日本語),崔曙海,최서해,鳥生賢二,N,海風社,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9784876160181
Mother's stake,엄마의 말뚝,,English(English),Park Wan-sŏ,박완서,Yu Young-Nan,N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,"9788994006208, 9788994006215"
Poor Man's wife,빈처,,English(English),Eun Hee-Kyung,은희경,Jeon Seung-hee,N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9788994006338
The Place Where the Harmonium Was,풍금이 있던 자리,,English(English),Shin Kyung-sook,신경숙,Agnita Tennant,N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9788994006321
Chinatown,중국인 거리,,English(English),Oh Jung-Hee,오정희,"Ju-Chan Fulton,",N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9788994006314
Our Friend's Homecoming,돌아온 우리의 친구,,English(English),辛相雄,신상웅,"Shon Suk-joo,Catherine Rose Torres",N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788994006208 (set) 9788994006307(04810)
The Man Who Was Left as Nine Pairs of Shoes,아홉 켤레의 구두로 남은 사내,,English(English),Yun Heung-gil,윤흥길,"Ju-Chan Fulton,",N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9788994006284
The road to Sampo,삼포 가는 길,,English(English),Hwang Sok-yong,황석영,Kim U-Chang,N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9788994006260
Record of a Journey to Mujin,무진기행,,English(English),Kim Seung-ok,김승옥,Kevin O`Rourke,N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9788994006208
The Land of the Banished,유형의 땅,,English(English),Jo Jung-rae,조정래,Chun Kyung-ja,N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,"9788994006208, 9788994006264"
Sun-I Samch'on,순이삼촌,,English(English),Hyun Ki-young,현기영,Lee Jung-hi,N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,"9788994006208, 9788994006222"
Soul of Darkness,어둠의 혼,,English(English),Kim Won-il,김원일,"Sohn Suk-joo,Catherine Rose Torres",N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9788994006253
The Wounded,병신과 머저리,,English(English),Yi Cheong-jun,이청준,Jennifer M. Lee,N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788994006239
Human Decency,인간에 대한 예의,,English(English),Gong Jiyoung,공지영,"Ju-Chan Fulton,",N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,"9788994006352, 8994006354"
The Poet of Wonmi-dong,원미동 시인,,English(English),Yang Kwi-ja,양귀자,Jeon Miseli,N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9788994006291
Als Mutter verschwand,엄마를 부탁해,GERMANY,German(Deutsch),Kyung-Sook Shin,신경숙,Cornelia Holfelder-von der Tann,N,Piper Verlag,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9783492055109
"Shim Chong, La niña vendida","심청, 연꽃의 길",SPAIN,Spanish(Español),Hwang Sok-yong,황석영,Blanca Riestra,N,Alianza D.L.,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,"8420608912, 9788420608914"
Nuestros tiempos felices,우리들의 행복한 시간,SPAIN,Spanish(Español),Gong Ji-young,공지영,LEE HYEKYUNG,Y,la esfera de los libros,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788499702100
Tam Quốc Di Sự,삼국유사,VIET NAM,Vietnamese(Tiếng Việt),,일연,Kim Won Jung,Y,Nhà xuất bản Văn hóa - Văn nghệ,2012,KDC구분 > History > Asia > Korea,9786046803959
あなたという記号,당신이라는 기호,,Japanese(日本語),金惠英,김혜영,韓成禮,N,書肆侃侃房,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9784863850873
Alexandria,소설 알렉산드리아,,English(English),Lee Byeng-ju,이병주,"Chenie Yoon,William Morley",N,Bybooks Publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9788992467698
This side of time,시간의 이쪽,UNITED STATES,English(English),Ko Un,고은,"Clare You,Richard Silberg",N,화이트 파인 출판사,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1945-1999,9781935210320
How in Heaven's Name,오 하느님,,English(English),Cho Chŏngnaee,조정래,"Ju-Chan Fulton,",N,Merwin Asia,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Historical >  Biographical >  Political >  Social,9781937385170
Songe de la falaise,벼랑의 꿈,FRANCE,French(Français),吳世永,오세영,Tcho Hye-young,N,Circé,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1945-1999,9782842423162
"ВЕЧЕР, КОГДА ВОЗВРАЩАЕТСЯ КОШКА",고양이가 돌아오는 저녁,,Russian(Русский),СОН ЧХАН ХО,송찬호,"Г.Н.Ли,Мен Суок",N,ГИПЕРИОН,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9785893321968
鄭喜成詩選集　詩を探し求めて,정희성 시선집,JAPAN,Japanese(日本語),鄭喜成,정희성,牧瀬暁子,N,藤原書店,2012,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),9784894348394
The Last of Hanak'o,하나코는 없다,,English(English),Ch’oe,최윤,"Ju-Chan Fulton,",N,Asia publishers,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,"9788994006208, 9788994006345"
長崎パパ,나가사키 파파,,Japanese(日本語),ク・ヒョソ,구효서,"尹英淑,YY翻訳会",N,クオソ,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,"9784904855058, 4904855051"
夢見ぬ日々の悲しみ,꿈없는 날들의 슬픔,,Japanese(日本語),李学永,이학영,安倍常子,N,新幹社,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784884000981
ความน่าจะเป็น (ปกแข็ง),Probability,,Thai(ภาษาไทย),,,Wanida,N,Typhoon Books,2012,KDC구분 > Social science,9786167144146
BIENVENUE,환영,FRANCE,French(Français),Kim Yi-seol,김이설,"Lim Yeong-Hee,Françoise Nagel",Y,,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782809708844
第一次跨越从建筑教育到设计实践.,Portfolio brainstorming,CHINA,Chinese(简体),,한국CA출판사,,N,天津大学出版社,2012,KDC구분 > Social science,9787561840962
River of Fire and Other Stories,불의 강,UNITED STATES,English(English),Oh Jung-Hee,오정희,Bruce and Ju-Chan Fulton,N,Columbia University Press,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9780231160667
Une feuille noire dans la bouche,입 속의 검은 잎,FRANCE,French(Français),Ki Hyongdo,기형도,Ju Hyounjin,N,Circé,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1945-1999,9782842423230
Please Look After Mom,엄마를 부탁해,UNITED STATES,English(English),Kyung-Sook Shin,신경숙,Chi-Young Kim,N,Vintage Books,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9780307739513
上半身窈窕的祕密,축복받은 상체 비밀을 풀어라,SINGAPORE,Chinese(繁體),,우지인,李珮諭,N,和平國際文化有限公司,2012,KDC구분 > Technology,9789865894146
"Por Favor, Cuide da Mamãe",엄마를 부탁해,BRAZIL,Portuguese(Português),Kyung-Sook Shin,신경숙,FLAVIA ROSSLER,N,Intrinseca,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9788580571325
通过世界遗产了解韩国历史,"세계 유산을 통한 한국 역사 탐구, Exploring the history of Korea through its World Heritage, 세계유산을 통한 한국 역사 탐구",SOUTH KOREA,Chinese(繁體),,한국학중앙Resea,,N,韩国学中央研究院出版部,2012,KDC구분 > History > Asia > Korea,9788971058886
Explorando la historia de Corea a través de sus Patrimonios de la Humanidad,"세계 유산을 통한 한국 역사 탐구, Exploring the history of Korea through its World Heritage, 세계유산을 통한 한국 역사 탐구",SOUTH KOREA,Spanish(Español),,한국학중앙Resea,,N,Academia de Estudios Coreanos,2012,KDC구분 > History > Asia > Korea,9788971058862
Изучение истории Кореи через,"세계 유산을 통한 한국 역사 탐구, Exploring the history of Korea through its World Heritage, 세계유산을 통한 한국 역사 탐구",SOUTH KOREA,Russian(Русский),,한국학중앙Resea,,N,Издательство Центральной академии Корееведения,2012,KDC구분 > History > Asia > Korea,9788971058879
СЫН ЧЕЛОВЕКА,사람의 아들,SOUTH KOREA,Russian(Русский),ЛИ МУН ЁЛ,이문열,"Пак Михаил,Хо Сун Чхол",N,Pushkinhouse,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9788992272414
سرزمین ققنوس,The Land of Phoenix: Travel Diary Of South Korea,IRAN,Persian(فارسی),,푸네 네다이,,N,Amrood Publication,2012,KDC구분 > History > Asia > Korea,9786005327748
پیرزن و ببر,팥죽 할머니와 호랑이,IRAN,Persian(فارسی),Cho Dae-in,조대인,,Y,Amrood Publication,2012,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9786005327564
لباس سال نو,설빔,IRAN,Persian(فارسی),배현주,배현주,,Y,Amrood Publication,2012,KDC구분 > literature > Korean Literature > Children and Adolescents,9786005327571
AZALEA (Journal of Korean Literature &amp; Culture),아젤리아,UNITED STATES,English(English),,,"Jamie Chang,Jeon Seung-hee,E. K. DuBois,Nathan A. DuBois,Sora Kim-Russell,Kevin O`Rourke",Y,The Korea InstituteHarvard University,2012,KDC구분 > literature > Periodical,9780979580086
Loď pokladů,보물선,CZECH REPUBLIC,Czech(Český Jazyk),Kim Jongha,김영하,Blanka Ferklová,N,Nová vlna,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9788085845228
Chàng trai vườn nho,포도밭 그 사나이,VIET NAM,Vietnamese(Tiếng Việt),キム・ラン,김랑,Khánh Lan,N,Nhã Nam,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,000000025305
玻璃船,난 유리로 만든 배를 타고 낯선 바다를 떠도네,CHINA,Chinese(简体),全镜潾,전경린,徐丽红,N,安徽文艺出版社,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787539638386
"Пожалуйста, позаботься о маме",엄마를 부탁해,RUSSIAN FEDERATION,Russian(Русский),Кун-Суук Шин,신경숙,А.Е. Прохорова,N,Центрполиграф,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9785227037961
Награда царя птиц,한국 전래 그림 동화,RUSSIAN FEDERATION,Russian(Русский),,,,N,НИГМА,2012,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9785433500204
Ta hand om min mor,엄마를 부탁해,SWEDEN,Swedish(Svenska),Kyung-Sook Shin,신경숙,Molle Kanmert Sjölander,N,Norstedts,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789113038186
ألف حياة وحياة,만인보,UNITED ARAB EMIRATES,Arabic(اللغة العربية),كو أون,고은,أشرف أبو اليزيد,N,مجلة دبي الثقافية,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9789948494225
鯨とり,고래사냥,JAPAN,Japanese(日本語),崔仁浩,최인호,林原 圭吾,N,白水社,2012,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama,9784560085882
平壌を飛び出した宮廷詩人,시를 품고 강을 넘다,JAPAN,Japanese(日本語),張真晟,장진성,ユンユンドウ,N,晩聲社,2012,KDC구분 > literature > Korean Literature > Reportage >  Misc.,9784891883539
君の心で花は咲く,삶에 어찌 꽃피는 봄날만이 있으랴,JAPAN,Japanese(日本語),,이승신,,N,飛鳥新社,2012,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9784864101509
"Hefte für ostasiatische Literatur (53. 3 Eßtische, 3 Zigaretten)",동아시아 문학지,GERMANY,German(Deutsch),Kim Chung-hyŏk,김중혁,Dennis Würthner,N,Iudicium,2012,KDC구분 > literature > Korean Literature > Reportage >  Misc.,9783862051694
Hefte für ostasiatische Literatur 52,동아시아 문학지,GERMANY,German(Deutsch),"Hwang Hak-joo,Pak Sŏng-wŏn","황학주,박성원",Gunhild Stierand Kim,N,Iudicium,2012,KDC구분 > literature > Korean Literature > Reportage >  Misc.,9783862051700
拥抱太阳的月亮 (上),해를 품은 달,,Chinese(简体),廷银阙,정은궐,千太阳,N,접력출판사,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9787544826167
拥抱太阳的月亮 (下),해를 품은 달,,Chinese(简体),廷银阙,정은궐,千太阳,N,접력출판사,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9787544826150
最好的教养在路上,일곱 살 여행,CHINA,Chinese(简体),朴善娥,박선아,邢心秀,N,北京理工大学出版社,2012,KDC구분 > literature > Korean Literature > Diary >  Letter >  Travelogue,9787564069568
The Moon That Embraces The Sun,해를 품은 달,INDONESIA,Indonesian(Bahasa Indonesia),Jung Eun-gwol,정은궐,Rizke Radhya Burhan,Y,Qanita,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9786029225631
Princess Deokhye,덕혜옹주,INDONESIA,Indonesian(Bahasa Indonesia),Kwon Bee-Young,권비영,Rencidiptya,N,Bentang Pustaka,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Historical >  Biographical >  Political >  Social,9786028811767
勇敢说出我不要,소중한 내 몸을 위해 꼭꼭 약속해,CHINA,Chinese(简体),朴恩京,박은경,崔莲花,Y,北京新星出版社,2012,KDC구분 > Social science,9787513307710
勇敢说出我不要,소중한 내 몸을 위해 꼭꼭 약속해,CHINA,Chinese(简体),朴恩京,박은경,崔莲花,N,北京新星出版社,2012,KDC구분 > Social science,9787513307710
冒险五人组 第2集：救援队在行动,15소년 어드벤처 2: 라더십 탄생기,CHINA,Chinese(简体),崔德熙,최덕희,李荣,N,浙江教育出版社,2012,KDC구분 > literature > Korean Literature > Children and Adolescents,9787553600871
金龟子，我为你骄傲,장하다 똥구리!,CHINA,Chinese(简体),李贤淑,이현숙,李荣,N,浙江教育出版社,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787533896454
动物吃些什么呢?,깨끗한 손 깨끗한 이,CHINA,Chinese(简体),柳映昭,유영소,李荣,N,浙江敎育出版社,2012,KDC구분 > literature > Korean Literature > Children and Adolescents,9787533896485
仲夏夜的萤火虫,반짝반짝 반딧불이,CHINA,Chinese(简体),李美爱,이미애,李荣,N,浙江教育出版社,2012,KDC구분 > literature > Korean Literature > Children and Adolescents,9787533896447
すばる,스바루 : 2012년 12월호,JAPAN,Japanese(日本語),,강영숙,吉川凪,N,슈에이샤,2012,KDC구분 > literature > Periodical,4910054591224
黃金戰士大冒險2：沒有尾巴的戰士,마법전사 호머와 포유류 전사들2,CHINA,Chinese(简体),,곰돌이 co.,邝绍贤,N,三采文化出版事业有限公司,2012,KDC구분 > Natural science,9789862296547
科學 發明王,내일은 발명왕,CHINA,Chinese(简体),,,徐月珠,N,三采文化,2012,KDC구분 > Technology,"9789862297780, 9789862298190"
科學發明王1：磁鐵的極性,내일은 발명왕,CHINA,Chinese(简体),,곰돌이 co.,徐月珠,N,三采文化出版事业有限公司,2012,KDC구분 > Technology,9789862297780
"COURS PAPA, COURS!","달려라, 아비",FRANCE,French(Français),KIM Ae-ran,김애란,"KIM Hye-gyeong,Jean-Claude de Crescenzo",Y,Decrescenzo éditeurs,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782367270005
太陽を抱く月 (下),해를 품은 달,JAPAN,Japanese(日本語),チョン・ウングォル,정은궐,佐島顕子,N,新書館,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9784403220692
李光洙長編小説 硏究,이광수장편소설 연구,,Japanese(日本語),李光洙,이광수,,N,,2012,KDC구분 > literature > Korean Literature > History of Korean Literature >  Literary Criticism > 20th century(‘10~’99),978427500968
太陽を抱く月 (上),해를 품은 달,JAPAN,Japanese(日本語),チョン・ウングォル,정은궐,佐島顕子,N,新書館,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9784403220685
世界曆史大奇航2：帝國的興衰,만화 바로 보는 세계사,CHINA,Chinese(简体),,이희수,徐月珠,N,三采文化出版事业有限公司,2012,KDC구분 > History,9789862297605
成均館羅曼史 (上),성균관 유생들의 나날,,Chinese(简体),廷銀闕,정은궐,,N,,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789863190110
成均館羅曼史 (下),성균관 유생들의 나날,,Chinese(简体),廷銀闕,정은궐,,N,蓋亞文化,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789863190127
Please Look After Mom,엄마를 부탁해,INDONESIA,Indonesian(Bahasa Indonesia),Kyung-Sook Shin,신경숙,Tanti Lesmana,N,Gramedia Pustaka Utama,2011,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789792274868
Солонгос үндэсний домог,한국대표 민담집,,Mongolian(Монгол Хэл),,,Д.Эрдэнэсүрэн,N,Admon,2011,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection & Library (more than 2 writers),978996203305
"В ТЕХ КРАЯХ, НА ТЕХ ВЕТРАХ",흙 속에 저 바람 속에,,Russian(Русский),Ли Орён,이어령,"И. Л. Касаткина,Чон Ин Сун",Y,Издательство Наталис,2011,KDC구분 > literature > Korean Literature > Essay > 20th century,9785806203329
Как их много!,박완서 단편소설선,RUSSIAN FEDERATION,Russian(Русский),Пак Вансо,박완서,"Хам Ëн Чжун,Ли Cан Юн",Y,Время,2011,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),9785969106185
"Als der Hahn im Dorf am Fluβ krähte, hing der Mond noch im Dachgesims",퇴계 시선,GERMANY,German(Deutsch),Toegye,이황,"Tobias Burghardt,JUANA BURGHARDT",Y,델타출판사,2011,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Supplementary Work in Chinese,9783927648340
Walking on a Washing Line,빨랫줄 위의 산책,UNITED STATES,English(English),Kim Seung-Hee,김승희,"Anthony of Taizé,Hyung-Jin Lee",Y,Cornell Univ. East Asia Program,2011,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9781933947501
Land,토지,UNITED KINGDOM,English(English),PAK KYUNG-NI,박경리,Agnita Tennant,Y,글로벌 오리엔탈,2011,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Historical >  Biographical >  Political >  Social,9781906876043
つつじの花,진달래꽃,JAPAN,Japanese(日本語),金素月,김소월,林陽子,Y,書肆青樹社,2011,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1910-1945,9784883742653
Please look after mother,엄마를 부탁해,UNITED KINGDOM,English(English),Kyung-Sook Shin,신경숙,Chi-Young Kim,N,Weidenfeld & Nicolson,2011,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9780297860730
Pilate&apos;s Jesus,빌라도의 예수,,English(English),Jeong Chan,정찬,Kong Yoo-Jung,Y,크로스 컬쳐럴 커뮤니케이션스,2011,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9780893041434
The island,그 섬에 가고 싶다,,English(English),Chul-Woo Lim,임철우,Inrae You Vinciguerra,Y,스텔리온,2011,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9789810853648
Scenes from Ch'ŏnggaye stream,천변풍경,,English(English),T`ae-wŏn Pak,박태원,Kim Ok-Young,Y,스텔리온,2011,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789810856182
"DÉLIEK, ÉSZAKIAK",남녘 사람 북녘 사람,HUNGARY,Hungarian(Magyar),Ri Hocshol,이호철,Kwon Hyuk-Yang,Y,Balassi Kiadó,2011,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Historical >  Biographical >  Political >  Social,9789635068586
